mean,sd,2.5%,50%,97.5%,Rhat,n.eff,cov,par
4.07,0.31,3.47,4.06,4.74,1.01,4883,NA,NA
-0.03,0.01,-0.05,-0.03,-0.01,1.01,4826,NA,NA
8.75,6.44,2.1,7.13,25.51,1,5336,NA,NA
6.104,0.972,4.25,6.069,8.097,1.04,452,inidoy,phi[1]
-0.019,0.009,-0.037,-0.019,-0.001,1,4231,inidoy,phi[2]
-0.014,0.006,-0.026,-0.014,-0.002,1.04,419,inidoy,beta
20.897,37.594,3.092,12.424,85.401,1.03,1955,inidoy,theta
2.328,2.468,-2.502,2.276,7.523,1.03,121,lastdoy,phi[1]
-0.024,0.011,-0.046,-0.023,-0.002,1.01,835,lastdoy,phi[2]
0.007,0.01,-0.013,0.007,0.027,1.03,118,lastdoy,beta
8.597,11.841,1.865,6.629,25.037,1,1934,lastdoy,theta
4.709,0.565,3.636,4.679,5.943,1,2278,cond_till_initrep_long,phi[1]
-0.034,0.011,-0.058,-0.034,-0.011,1,2617,cond_till_initrep_long,phi[2]
-0.028,0.02,-0.069,-0.027,0.011,1,2736,cond_till_initrep_long,beta
10.751,9.514,2.166,8.377,33.775,1,4968,cond_till_initrep_long,theta
4.612,0.544,3.614,4.578,5.807,1,2517,cond_till_initrep,phi[1]
-0.029,0.01,-0.051,-0.029,-0.009,1,3523,cond_till_initrep,phi[2]
-0.027,0.021,-0.07,-0.026,0.013,1,2986,cond_till_initrep,beta
10.347,9.752,2.07,7.867,33.033,1.06,3904,cond_till_initrep,theta
3.992,0.633,2.749,3.987,5.262,1,2342,cond_during,phi[1]
-0.026,0.011,-0.048,-0.026,-0.004,1,3549,cond_during,phi[2]
0.002,0.013,-0.024,0.002,0.029,1,2711,cond_during,beta
7.948,6.744,1.763,6.3,23.308,1.04,4815,cond_during,theta
4.706,0.92,2.903,4.699,6.631,1.01,994,cond_till_lastrep,phi[1]
-0.03,0.011,-0.053,-0.029,-0.006,1,2086,cond_till_lastrep,phi[2]
-0.01,0.014,-0.039,-0.01,0.018,1,1099,cond_till_lastrep,beta
8.864,7.862,1.832,6.971,27.072,1.01,3714,cond_till_lastrep,theta
3.077,0.729,1.606,3.082,4.522,1,1335,durrep,phi[1]
-0.024,0.01,-0.044,-0.024,-0.005,1,4455,durrep,phi[2]
0.013,0.009,-0.005,0.013,0.031,1,1382,durrep,beta
10.725,9.128,2.245,8.474,32.603,1.02,5335,durrep,theta
3.36,1.719,0.056,3.311,6.938,1.01,299,proprain_foi,phi[1]
-0.021,0.016,-0.055,-0.02,0.011,1.01,449,proprain_foi,phi[2]
0.032,0.075,-0.12,0.034,0.177,1.01,310,proprain_foi,beta
8.235,6.832,1.695,6.563,24.824,1.01,3783,proprain_foi,theta
4.266,1.087,2.198,4.258,6.486,1,775,sumrain_foi,phi[1]
-0.028,0.014,-0.058,-0.027,-0,1,1010,sumrain_foi,phi[2]
-0.007,0.04,-0.089,-0.007,0.07,1,863,sumrain_foi,beta
7.747,5.862,1.792,6.288,21.902,1,4741,sumrain_foi,theta
5.945,1.974,2.135,5.919,10.237,1.02,192,proprain_ooi,phi[1]
-0.028,0.01,-0.05,-0.028,-0.008,1,2519,proprain_ooi,phi[2]
-0.048,0.05,-0.155,-0.048,0.05,1.02,189,proprain_ooi,beta
8.824,7.121,1.945,7.006,26.429,1.01,3587,proprain_ooi,theta
4.049,0.293,3.49,4.039,4.683,1,4629,propfrost_ooi,phi[1]
-0.023,0.01,-0.043,-0.023,-0.004,1,5053,propfrost_ooi,phi[2]
-0.195,0.134,-0.452,-0.195,0.075,1,5616,propfrost_ooi,beta
12.48,17.865,2.383,8.947,39.675,1.23,4232,propfrost_ooi,theta
4.296,0.315,3.704,4.289,4.951,1,4688,hellman_ooi,phi[1]
-0.031,0.009,-0.05,-0.031,-0.013,1,4613,hellman_ooi,phi[2]
-0.013,0.008,-0.027,-0.013,0.003,1,5609,hellman_ooi,beta
17.916,40.652,2.545,10.505,67.098,1.26,2616,hellman_ooi,theta
4.949,0.868,3.203,4.956,6.697,1.01,1000,proprain_gs,phi[1]
-0.029,0.01,-0.048,-0.029,-0.009,1,3342,proprain_gs,phi[2]
-0.044,0.04,-0.125,-0.044,0.039,1,1027,proprain_gs,beta
10.938,12.703,2.111,7.92,37.358,1.14,3614,proprain_gs,theta
4.84,0.765,3.33,4.828,6.438,1,1366,sumrain_gs,phi[1]
-0.029,0.01,-0.049,-0.029,-0.009,1,3588,sumrain_gs,phi[2]
-0.036,0.032,-0.102,-0.035,0.029,1.01,1513,sumrain_gs,beta
9.973,8.354,2.008,7.713,31.969,1,4900,sumrain_gs,theta
6.087,0.797,4.514,6.088,7.723,1.01,585,sol_rad,phi[1]
-0.024,0.007,-0.04,-0.024,-0.011,1,5551,sol_rad,phi[2]
-0.027,0.01,-0.048,-0.027,-0.007,1.01,590,sol_rad,beta
61.111,127.977,3.846,21.493,447.088,1.01,1397,sol_rad,theta
4.771,0.857,3.025,4.796,6.454,1,1014,favhours,phi[1]
-0.027,0.01,-0.047,-0.027,-0.007,1,3600,favhours,phi[2]
-0.001,0.001,-0.002,-0.001,0.001,1,1065,favhours,beta
10.148,11.903,1.889,7.474,33.903,1.03,3199,favhours,theta
