yr,proprain_foi,sumrain_foi,proprain_ooi,propfrost_ooi,hellman_ooi,proprain_gs,sumrain_gs,sol_rad,favhours
2003,15.598467753514122,17.35,36.42745651023607,1.009518385197733,3,20.442152173815924,17.937,67.2,1006
2004,12.706434440845197,8.122,37.524118193755974,0.3878536922015183,1.3,20.271614545070484,19.552,79,1300
2005,19.172112273242977,19.378,34.77736190139942,0,0,13.340178464970665,11.655,62.3,838
2006,14.240182652724458,16.016000000000002,32.15562102933054,0.13541666666666666,2.2,13.278188234082364,13.904,66.9,695
2007,19.05564499602961,20.065,38.02367438423163,0.10714285714285714,1.5,19.19605796899977,23.715,69.9,1054
2008,13.974395820068796,14.232,38.81733444485711,0,0,15.79423952200632,18.913,75.8,1003
2009,22.9606908671141,26.796,33.77768527201083,0.1877264492753623,1.5,16.687530738492278,17.217,79.1,1066
2010,16.16183792053357,16.409,35.79401244488201,4.157407407407407,21.1,18.764525871169894,18.816,92.1,1087
2011,17.96935641351402,18.539,39.815939633327744,0.15833333333333335,60,24.014224076284414,23.13,87.8,1316
2012,21.41553932557138,24.717,39.048450408287366,0,0,21.244215838509316,23.406,78.1,1236
2013,17.805072719042972,20.955000000000002,42.81408870949312,0,0.7,23.1419457521237,24.763,94.8,1393
2014,17.206092829302815,18.845,41.3621873210004,0,0,18.06590576662087,20.238,66.5,1100
2015,14.351681173584401,17.366,39.19150641059882,0,0.7,19.943036389832727,21.307,74.1,930
2016,11.478371401772582,13.41,47.19657116283336,0,0,18.31567257341977,18.192,73.1,1261
2017,12.739334278950984,12.224,29.286340169099148,0.35833333333333334,0,19.4173936635848,22.89,78,1293
