year,Asym,xmid,scal
2003 (1),44.29413012357297,179.02652916866325,9.947948367987486
2004 (2),25.132568139727297,208.2197762257222,9.947948367987486
2005 (3),56.338817542285895,192.75934013108156,9.947948367987486
2006 (4),18.90102641346467,204.72206489528722,9.947948367987486
2007 (5),51.60154898516065,191.88882111753637,9.947948367987486
2008 (6),11.728069282443151,205.84590051566389,9.947948367987486
2009 (7),43.79633684183305,200.0570472734102,9.947948367987486
2011 (9),27.001463778301154,196.8191885056863,9.947948367987486
2012 (10),36.45297457136999,193.69600182451344,9.947948367987486
2013 (11),14.540566698161456,211.36198160005574,9.947948367987486
2014 (12),35.32394815574322,198.3331575032487,9.947948367987486
